C:\Users\admin\PycharmProjects\HackTheFuture\.venv\Scripts\python.exe C:\Users\admin\PycharmProjects\HackTheFuture\clothing_condition_classifier.py 
Dataset structure is valid. Proceeding with training...
Total images in dataset: 16417
Training samples: 11491, Validation samples: 2461, Test samples: 2465
Using device: cpu
Epoch 1 | Batch 0/90 - Loss: 1.0887 | Train Acc: 32.81%
Epoch 5 | Batch 40/90 - Loss: 0.0254 | Train Acc: 99.37%
Epoch 5 | Batch 45/90 - Loss: 0.0103 | Train Acc: 99.32%
Epoch 5 | Batch 50/90 - Loss: 0.0059 | Train Acc: 99.36%
Epoch 5 | Batch 55/90 - Loss: 0.0487 | Train Acc: 99.30%
Epoch 5 | Batch 60/90 - Loss: 0.0067 | Train Acc: 99.32%
Epoch 5 | Batch 65/90 - Loss: 0.0031 | Train Acc: 99.31%
Epoch 5 | Batch 70/90 - Loss: 0.0550 | Train Acc: 99.32%
Epoch 5 | Batch 75/90 - Loss: 0.0029 | Train Acc: 99.29%
Epoch 5 | Batch 80/90 - Loss: 0.0268 | Train Acc: 99.25%
Epoch 5 | Batch 85/90 - Loss: 0.0037 | Train Acc: 99.27%
Epoch 5/5 | Train Acc: 99.28% | Val Acc: 78.22% | Val Loss: 9.9228
Early stopping triggered at epoch 5. Stopping training.
Test Accuracy: 76.67%
Model Training Complete!

Process finished with exit code 0
